date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:01	62914/62914	---M-Z	200	added ('OK')	text/html	etag:%224ca0879-f5c2-5814211158180-gzip%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html	bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html	(from )
17:24:02	780/780	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Tue,%2010%20Mar%202020%2012:24:01%20GMT	http://bootstraplovers.com/robots.txt		(from )
17:24:05	265663/265663	---M--	200	added ('OK')	text/css	etag:%224ca070a-40dbf-5812addb83600%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/plugins/plugins.css	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/plugins/plugins.css	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:24:06	15774/15774	---M--	200	added ('OK')	text/css	etag:%224ca0708-3d9e-53e6262459e00%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/bootstrap-datepicker.min.css	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/bootstrap-datepicker.min.css	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:24:06	3137/3137	---M--	200	added ('OK')	text/css	etag:%224ca0707-c41-5000895a65e80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/bootstrap-clockpicker.min.css	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/bootstrap-clockpicker.min.css	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:24:07	2800/2800	---M--	200	added ('OK')	text/css	etag:%224ca0769-af0-526d3fe4d7f80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/css/lightbox.min.css	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/css/lightbox.min.css	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:24:08	29629/29629	---M--	200	added ('OK')	text/css	etag:%224ca07f2-73bd-5431751f6f080%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/settings.css	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:24:10	146597/146597	---M--	200	added ('OK')	text/css	etag:%224ca07df-23ca5-5360b2e7c6e00%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/layers.css	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/layers.css	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:24:12	59576/59576	---M--	200	added ('OK')	text/css	etag:%224ca07ef-e8b8-53fa151e80d00%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/navigation.css	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/css/navigation.css	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:24:14	44987/44987	---M--	200	added ('OK')	text/css	etag:%224ca070b-afbb-58143547fb200%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/style.css	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/style.css	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:24:16	49463/49463	---M-Z	200	added ('OK')	text/html	etag:%224ca0873-c137-5814212282a00-gzip%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/index.html	bootstraplovers.com/bootstrap4/resto-2.3/html/index.html	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:24:16	2065/2065	---M--	200	added ('OK')	image/png	etag:%224ca0740-811-5606726e51a80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/images/logo-light.png	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/images/logo-light.png	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
